Path,Category,Complexity,Lines,Has PropTypes,Is Test,Import Count,Dependent Count,Dependency Count
actions/alert/index.js,actions,S,16,No,No,0,14,0
actions/bookmarks/index.js,actions,S,14,No,No,0,0,0
actions/browser/index.js,actions,S,136,No,No,0,2,0
actions/collectibles/index.js,actions,S,27,No,No,1,4,1
actions/infuraAvailability/index.js,actions,S,17,No,No,1,1,1
actions/modals/index.js,actions,S,34,No,No,0,4,0
actions/notification/index.js,actions,S,103,No,No,1,2,1
actions/privacy/index.js,actions,S,21,No,No,0,0,0
actions/settings/index.js,actions,S,77,No,No,0,5,0
actions/transaction/index.js,actions,S,174,No,No,1,16,1
actions/wizard/index.js,actions,S,10,No,No,0,4,0
components/Base/Keypad/constants.js,base-components,S,181,No,No,1,4,1
components/Base/Keypad/createKeypadRule.js,base-components,S,64,No,No,2,3,1
components/Base/Keypad/Keypad.test.js,base-components,S,35,No,Yes,3,0,1
components/Base/Keypad/useCurrency.js,base-components,S,37,No,No,3,1,2
components/Base/TabBar.js,base-components,S,44,No,No,5,1,0
components/Base/DetailsModal.js,base-components,M,190,Yes,No,8,2,0
components/Base/Keypad/components.js,base-components,M,118,Yes,No,8,2,1
components/Base/Keypad/createKeypadRule.test.js,base-components,M,367,No,Yes,2,0,2
components/Base/Keypad/index.js,base-components,M,257,Yes,No,6,1,3
components/Base/RangeInput.js,base-components,M,286,Yes,No,7,4,0
components/Base/StatusText.js,base-components,M,121,Yes,No,7,2,0
components/Base/RemoteImage/index.js,base-components,L,319,Yes,No,25,2,1
constants/navigation.js,constants,S,4,No,No,0,3,0
constants/network.js,constants,S,106,No,No,1,19,0
constants/onboarding.js,constants,S,18,No,No,1,4,0
core/BackgroundBridge/BackgroundBridge.test.js,core,S,195,No,Yes,7,0,2
core/ClipboardManager.js,core,S,34,No,No,2,9,1
core/DrawerStatusTracker.js,core,S,34,No,No,1,0,0
core/EntryScriptWeb3.js,core,S,27,No,No,2,0,1
core/MobilePortStream.js,core,S,75,No,No,2,1,0
core/Permissions/specifications.js,core,S,180,No,No,3,1,0
core/Permissions/specifications.test.js,core,S,162,No,Yes,4,0,1
core/PreventScreenshot.js,core,S,21,No,No,1,1,0
core/RPCMethods/createEip1193MethodMiddleware/index.js,core,S,18,No,No,3,3,1
core/RPCMethods/createEip1193MethodMiddleware/index.test.js,core,S,186,No,Yes,3,0,1
core/RPCMethods/eth-request-accounts.js,core,S,95,No,No,3,1,0
core/RPCMethods/handlers/index.js,core,S,5,No,No,2,1,1
core/RPCMethods/index.js,core,S,14,No,No,4,0,2
core/RPCMethods/wallet_switchEthereumChain.js,core,S,128,No,No,6,2,1
core/TransactionTypes.js,core,S,17,No,No,0,8,0
core/Vault.js,core,S,171,No,No,4,1,0
core/InpageBridgeWeb3.js,core,M,2,No,No,0,0,0
core/NotificationManager.js,core,M,524,No,No,16,14,3
core/RPCMethods/lib/ethereum-chain-utils.js,core,M,366,No,No,10,2,1
core/RPCMethods/wallet_addEthereumChain.js,core,M,305,No,No,14,2,2
core/RPCMethods/wallet_addEthereumChain.test.js,core,M,545,No,Yes,6,0,2
core/RPCMethods/wallet_switchEthereumChain.test.js,core,M,304,No,Yes,4,0,1
core/SecureKeychain.js,core,M,213,No,No,11,0,1
core/BackgroundBridge/BackgroundBridge.js,core,L,585,No,No,33,2,4
core/WalletConnect/WalletConnect.js,core,L,507,No,No,23,2,4
lib/ens-ipfs/contracts/registry.js,lib,S,109,No,No,0,1,0
lib/ens-ipfs/resolver.js,lib,S,106,No,No,9,0,2
lib/ppom/blockaid-version.js,lib,S,1,No,No,0,0,0
lib/ppom/ppom.html.js,lib,S,1,No,No,0,0,0
lib/ens-ipfs/contracts/resolver.js,lib,M,236,No,No,0,1,0
__mocks__/pngMock.js,mocks,S,4,No,No,0,0,0
__mocks__/react-native-device-info.js,mocks,S,8,No,No,0,0,0
__mocks__/react-native-splash-screen.js,mocks,S,11,No,No,0,0,0
__mocks__/react-native-view-shot.js,mocks,S,7,No,No,0,0,0
__mocks__/rn-fetch-blob.js,mocks,S,22,No,No,0,0,0
__mocks__/svgMock.js,mocks,S,3,No,No,0,0,0
images/image-icons.js,other,M,59,No,No,26,1,0
reducers/alert/index.js,reducers,S,29,No,No,0,0,0
reducers/bookmarks/index.js,reducers,S,12,No,No,0,0,0
reducers/browser/index.js,reducers,S,105,No,No,3,1,1
reducers/browser/index.test.js,reducers,S,70,No,Yes,2,0,1
reducers/collectibles/index.js,reducers,S,160,No,No,6,9,0
reducers/infuraAvailability/index.js,reducers,S,29,No,No,0,2,0
reducers/modals/index.js,reducers,S,63,No,No,0,0,0
reducers/privacy/index.js,reducers,S,39,No,No,0,0,0
reducers/settings/index.js,reducers,S,71,No,No,1,0,0
reducers/wizard/index.js,reducers,S,23,No,No,1,0,0
reducers/notification/index.js,reducers,M,204,No,No,2,3,0
reducers/notification/notification.test.js,reducers,M,275,No,Yes,2,0,1
reducers/swaps/index.js,reducers,M,422,No,No,13,8,4
reducers/transaction/index.js,reducers,M,169,No,No,2,0,0
store/migrations/000.js,store,S,22,No,No,0,0,0
store/migrations/001.js,store,S,24,No,No,2,0,1
store/migrations/002.js,store,S,24,No,No,2,0,2
store/migrations/003.js,store,S,35,No,No,4,0,2
store/migrations/004.js,store,S,69,No,No,1,0,0
store/migrations/005.js,store,S,20,No,No,0,0,0
store/migrations/006.js,store,S,18,No,No,2,0,0
store/migrations/007.js,store,S,45,No,No,0,0,0
store/migrations/008.js,store,S,45,No,No,0,0,0
store/migrations/009.js,store,S,8,No,No,0,0,0
store/migrations/010.js,store,S,9,No,No,0,0,0
store/migrations/011.js,store,S,8,No,No,0,0,0
store/migrations/012.js,store,S,27,No,No,0,0,0
store/migrations/013.js,store,S,56,No,No,1,0,0
store/migrations/014.js,store,S,10,No,No,0,0,0
store/migrations/015.js,store,S,17,No,No,2,0,1
store/migrations/016.js,store,S,9,No,No,0,0,0
store/migrations/017.js,store,S,7,No,No,0,0,0
store/migrations/018.js,store,S,7,No,No,0,0,0
store/migrations/019.js,store,S,7,No,No,0,1,0
store/migrations/019.test.js,store,S,24,No,Yes,1,0,1
store/migrations/020.js,store,S,42,No,No,1,1,0
store/migrations/021.js,store,S,21,No,No,1,1,1
store/migrations/021.test.js,store,S,53,No,Yes,3,0,2
store/migrations/022.js,store,S,14,No,No,0,1,0
store/migrations/022.test.js,store,S,22,No,Yes,1,0,1
store/migrations/023.js,store,S,192,No,No,4,1,0
store/migrations/024.js,store,S,49,No,No,3,1,0
store/migrations/024.test.js,store,S,91,No,Yes,4,0,1
store/migrations/025.js,store,S,32,No,No,1,1,0
store/migrations/025.test.js,store,S,71,No,Yes,1,0,1
store/migrations/026.js,store,S,52,No,No,2,1,0
store/migrations/026.test.js,store,S,84,No,Yes,2,0,1
store/migrations/027.js,store,S,59,No,No,1,1,0
store/migrations/020.test.js,store,M,289,No,Yes,2,0,1
store/migrations/023.test.js,store,M,433,No,Yes,5,0,1
store/migrations/027.test.js,store,M,263,No,Yes,1,0,1
store/migrations/028.test.js,store,M,118,No,Yes,13,0,1
components/UI/BasicFunctionality/BasicFunctionality.test.js,ui-components,S,14,No,Yes,3,0,0
components/UI/BasicFunctionality/BasicFunctionalityModal/BasicFunctionalityModal.test.js,ui-components,S,66,No,Yes,4,0,0
components/UI/Confetti/index.js,ui-components,S,27,No,No,5,1,1
components/UI/FoxScreen/index.js,ui-components,S,45,No,No,5,0,0
components/UI/Navbar/index.test.jsx,ui-components,S,49,Yes,Yes,6,0,1
components/UI/NavbarTitle/index.test.js,ui-components,S,21,No,Yes,5,0,1
components/UI/Notification/BaseNotification/index.test.jsx,ui-components,S,47,No,Yes,4,0,1
components/UI/Notification/SimpleNotification/index.js,ui-components,S,63,Yes,No,8,1,2
components/UI/StyledButton/index.js,ui-components,S,11,No,No,1,40,0
components/UI/Swaps/components/LoadingAnimation/backgroundShapes.js,ui-components,S,62,No,No,0,0,0
components/UI/Swaps/components/TokenIcon.test.js,ui-components,S,36,No,Yes,3,0,1
components/UI/Swaps/components/TokenSelectButton.js,ui-components,S,35,Yes,No,6,2,1
components/UI/Swaps/components/TokenSelectButton.test.js,ui-components,S,37,No,Yes,3,0,1
components/UI/Swaps/utils/useBalance.js,ui-components,S,51,No,No,4,2,2
components/UI/Swaps/utils/useFetchTokenMetadata.js,ui-components,S,58,No,No,3,1,0
components/UI/TimeEstimateInfoModal/index.js,ui-components,S,53,Yes,No,7,4,0
components/UI/ActionModal/ActionContent/index.js,ui-components,M,207,Yes,No,6,2,1
components/UI/ActionModal/index.js,ui-components,M,183,Yes,No,7,8,1
components/UI/ActionView/index.js,ui-components,M,237,Yes,No,8,7,1
components/UI/AddressInputs/index.test.jsx,ui-components,M,119,No,Yes,6,0,1
components/UI/AnimatedSpinner/index.js,ui-components,M,137,Yes,No,5,2,1
components/UI/AssetList/index.js,ui-components,M,96,Yes,No,8,0,1
components/UI/Button/index.js,ui-components,M,59,Yes,No,6,0,0
components/UI/Collectibles/index.js,ui-components,M,237,Yes,No,10,1,0
components/UI/CustomAlert/index.js,ui-components,M,127,Yes,No,8,0,1
components/UI/EthereumAddress/index.js,ui-components,M,73,Yes,No,6,3,0
components/UI/FadeAnimationView/index.js,ui-components,M,134,Yes,No,3,7,0
components/UI/FadeOutOverlay/index.js,ui-components,M,64,Yes,No,5,3,1
components/UI/HintModal/index.js,ui-components,M,133,Yes,No,9,1,1
components/UI/ManageNetworks/ManageNetworks.test.js,ui-components,M,70,No,Yes,9,0,0
components/UI/NetworkMainAssetLogo/index.js,ui-components,M,56,Yes,No,6,1,1
components/UI/PhishingModal/index.js,ui-components,M,194,Yes,No,12,0,0
components/UI/Screen/index.js,ui-components,M,27,Yes,No,4,0,0
components/UI/SeedphraseModal/index.js,ui-components,M,111,Yes,No,8,2,1
components/UI/SettingsDrawer/index.js,ui-components,M,144,Yes,No,10,0,0
components/UI/SettingsNotification/index.js,ui-components,M,111,Yes,No,6,1,0
